,official gene symbol,cell type (general),cell type id (human),gene id
4376,S100G,Enterocytes,Q101405073,Q17855400
4377,S100G,Pulmonary alveolar type II cells,Q101404950,Q17855400
4378,BEST4,Enterocytes,Q101405073,Q18053962
4379,SLC28A1,Enterocytes,Q101405073,Q18033877
4380,SLC28A2,Enterocytes,Q101405073,Q18033876
4381,SLC30A10,Enterocytes,Q101405073,Q18041848
4382,SLC51B,Enterocytes,Q101405073,Q18049531
4383,VNN1,Enterocytes,Q101405073,Q18033496
4384,SLC23A1,Enterocytes,Q101405073,Q18034918
4385,TREH,Enterocytes,Q101405073,Q18036232
4386,ABCC2,Enterocytes,Q101405073,Q17907816
4387,ABCC2,Proximal tubule cells,Q101404885,Q17907816
4388,ABCG5,Enterocytes,Q101405073,Q18045622
4389,SLC52A1,Enterocytes,Q101405073,Q18041518
4390,CYP3A7,Enterocytes,Q101405073,Q17911660
4391,CYP3A7,Hepatocytes,Q101405101,Q17911660
4392,ABCG8,Enterocytes,Q101405073,Q18045623
4393,ABCG8,Sertoli cells,Q101404909,Q18045623
4394,PLIN2,Enterocytes,Q101405073,Q17710178
4395,GSTA1,Enterocytes,Q101405073,Q18015279
4396,GSTA1,Foveolar cells,Q101405056,Q18015279
4397,CYBRD1,Enterocytes,Q101405073,Q18046453
4398,NR1H4,Enterocytes,Q101405073,Q14905041
4399,NR1H4,Hepatic stellate cells,Q101404946,Q14905041
4400,DAB1,Enterocytes,Q101405073,Q14916487
4401,DAB1,Neuroblasts,Q101405031,Q14916487
4402,DAB1,Pyramidal cells,Q101404930,Q14916487
4403,TM6SF2,Enterocytes,Q101405073,Q18040611
4404,NR5A2,Enterocytes,Q101405073,Q15312697
4405,NR5A2,Leydig cells,Q101405116,Q15312697
4406,PDZK1,Enterocytes,Q101405073,Q18030440
4407,PDZK1,Proximal tubule cells,Q101404885,Q18030440
4408,ACSL5,Enterocytes,Q101405073,Q18040521
4409,AQP11,Enterocytes,Q101405073,Q18054020
4410,AQP11,Germ cells,Q101404931,Q18054020
4411,AQP8,Enterocytes,Q101405073,Q17830654
4412,HMOX1,Enterocytes,Q101405073,Q14882921
4413,HMOX1,Red pulp macrophages,Q101404936,Q14882921
4414,HMOX1,Satellite cells,Q101404953,Q14882921
4415,SLC39A5,Enterocytes,Q101405073,Q18054114
4416,SLC51A,Enterocytes,Q101405073,Q18053194
4417,MOGAT2,Enterocytes,Q101405073,Q18046613
4418,MAOA,Enterocytes,Q101405073,Q14888415
4419,DGAT1,Enterocytes,Q101405073,Q18033223
4420,DGAT2,Enterocytes,Q101405073,Q18047698
4421,DGAT2,Epithelial cells,Q101404948,Q18047698
4422,NPSR1,Enteroendocrine cells,Q101404935,Q18056337
4423,FFAR3,Enteroendocrine cells,Q101404935,Q18026426
4424,FFAR3,Sebocytes,Q101405069,Q18026426
4425,FFAR3,Tuft cells,Q101404870,Q18026426
4426,FFAR3,Tuft cells,Q101404871,Q18026426
4427,NEUROG3,Enteroendocrine cells,Q101404935,Q18039845
4428,NEUROG3,Pancreatic progenitor cells,Q101405063,Q18039845
4429,FFAR1,Enteroendocrine cells,Q101404935,Q18026423
4430,FFAR1,Mammary epithelial cells,Q101404863,Q18026423
4431,SCT,Enteroendocrine cells,Q101404935,Q14820612
4432,VWA5B2,Enteroendocrine cells,Q101404935,Q18048159
4433,FABP5,Enteroendocrine cells,Q101404935,Q17927052
4434,FABP5,Microfold cells,Q101404934,Q17927052
4435,RIMBP2,Enteroendocrine cells,Q101404935,Q18037220
4436,GIP,Enteroendocrine cells,Q101404935,Q419977
4437,GLP2R,Enteroendocrine cells,Q101404935,Q15318636
4438,GAST,Enteroendocrine cells,Q101404935,Q14863369
4439,NTS,Enteroendocrine cells,Q101404935,Q14904891
4440,MLN,Enteroendocrine cells,Q101404935,Q18029158
4441,CHGB,Enteroendocrine cells,Q101404935,Q14907931
4442,CPE,Enteroendocrine cells,Q101404935,Q14913002
4443,GHRL,Enteroendocrine cells,Q101404935,Q21163357
4444,GHRL,Epsilon cells,Q101404922,Q21163357
4445,ENPP2,Enteroendocrine cells,Q101404935,Q14913997
4446,ENPP2,Oligodendrocytes,Q101404898,Q14913997
4447,MC4R,Enteroendocrine cells,Q101404935,Q18028921
4448,INSL5,Enteroendocrine cells,Q101404935,Q18034962
4449,TAS1R2,Enteroendocrine cells,Q101404935,Q18046817
4450,TAS1R2,Taste receptor cells,Q101405050,Q18046817
4451,TAS1R3,Enteroendocrine cells,Q101404935,Q18047266
4452,TAS1R3,Osteoclasts,Q101404928,Q18047266
4453,TAS1R3,Taste receptor cells,Q101405050,Q18047266
4454,TAS1R3,Tuft cells,Q101404870,Q18047266
4455,TAS1R3,Tuft cells,Q101404871,Q18047266
4456,GNAT3,Enteroendocrine cells,Q101404935,Q18055671
4457,GNAT3,Taste receptor cells,Q101405050,Q18055671
4458,GNAT3,Tuft cells,Q101404870,Q18055671
4459,GNAT3,Tuft cells,Q101404871,Q18055671
4460,C3AR1,Eosinophils,Q101405048,Q14905329
4461,C3AR1,Macrophages,Q101405081,Q14905329
4462,C5AR1,Eosinophils,Q101405048,Q14912228
4463,C5AR1,Macrophages,Q101405081,Q14912228
4464,C5AR1,Microglia,Q101404888,Q14912228
4465,C5AR1,Neutrophils,Q101405102,Q14912228
4466,C5AR1,Osteoblasts,Q101405044,Q14912228
4467,CCR1,Eosinophils,Q101405048,Q17907803
4468,CCR1,Neutrophils,Q101405102,Q17907803
4469,CCR1,Platelets,Q101404882,Q17907803
4470,CCR1,T helper cells,Q101404876,Q17907803
4472,CD244,Eosinophils,Q101405048,Q18040546
4473,CD244,NK cells,Q68620803,Q18040546
4474,PTGDR2,Eosinophils,Q101405048,Q18036432
4475,PTGDR2,T helper cells,Q101404876,Q18036432
4477,SIGLEC8,Eosinophils,Q101405048,Q18038698
4478,SIGLEC10,Eosinophils,Q101405048,Q18048102
4479,PGLYRP1,Eosinophils,Q101405048,Q18033661
4480,PGLYRP1,Microfold cells,Q101404934,Q18033661
4481,EPX,Eosinophils,Q101405048,Q14906786
4482,RNASE3,Eosinophils,Q101405048,Q15311600
4483,RNASE2,Eosinophils,Q101405048,Q15311603
4484,IL5,Eosinophils,Q101405048,Q14877650
4485,IL5,Nuocytes,Q101405037,Q14877650
4486,IL5,T helper cells,Q101404876,Q14877650
4488,PRG2,Eosinophils,Q101405048,Q14876034
4489,PRG3,Eosinophils,Q101405048,Q18035349
4490,IKZF2,Eosinophils,Q101405048,Q18036501
4491,IKZF2,T regulatory cells,Q101405084,Q18036501
4492,CCL5,Eosinophils,Q101405048,Q14916093
4493,CCL5,Gamma delta T cells,Q101405093,Q14916093
4494,CCL5,Macrophages,Q101405081,Q14916093
4495,CCL5,NK cells,Q68620803,Q14916093
4496,CCL5,Platelets,Q101404882,Q14916093
4497,CCL5,T cells,Q101405075,Q14916093
4498,CSF2,Eosinophils,Q101405048,Q21163330
4499,CSF2,NK cells,Q68620803,Q21163330
4500,CSF2,Paneth cells,Q101405040,Q21163330
4501,CSF2,T helper cells,Q101404876,Q21163330
4503,IL5RA,Eosinophils,Q101405048,Q18027833
4504,TRIM71,Ependymal cells,Q101405078,Q18050104
4505,USP18,Ependymal cells,Q101405078,Q18036449
4506,CELSR2,Ependymal cells,Q101405078,Q17916070
4507,CELSR2,Principal cells,Q101404911,Q17916070
4508,ENKUR,Ependymal cells,Q101405078,Q18053362
4509,FAM216B,Ependymal cells,Q101405078,Q18051344
4510,CATIP,Ependymal cells,Q101405078,Q18056143
4511,DNAH12,Ependymal cells,Q101405078,Q18053229
4512,FAM166B,Ependymal cells,Q101405078,Q18061876
4513,IQCG,Ependymal cells,Q101405078,Q18047477
4514,SPEF2,Ependymal cells,Q101405078,Q11868650
4515,SPEF2,Olfactory epithelial cells,Q101405047,Q11868650
4516,MYO16,Ependymal cells,Q101405078,Q18036665
4517,PLXNB2,Ependymal cells,Q101405078,Q18037568
4518,TEKT1,Ependymal cells,Q101405078,Q18047228
4519,TEKT1,Germ cells,Q101404931,Q18047228
4520,CHEK2,Ependymal cells,Q101405078,Q14912280
4521,CROCC,Ependymal cells,Q101405078,Q18034592
4522,NME9,Ependymal cells,Q101405078,Q18055748
4523,CFAP126,Ependymal cells,Q101405078,Q18053881
4524,CFAP126,Olfactory epithelial cells,Q101405047,Q18053881
4525,MEIG1,Ependymal cells,Q101405078,Q18059861
4526,MEIG1,Germ cells,Q101404931,Q18059861
4527,MEIG1,Olfactory epithelial cells,Q101405047,Q18059861
4528,MEIG1,Sertoli cells,Q101404909,Q18059861
4529,CFAP65,Ependymal cells,Q101405078,Q18053780
4530,TEKT4,Ependymal cells,Q101405078,Q18051956
4531,CALML4,Ependymal cells,Q101405078,Q18048570
4532,PIFO,Ependymal cells,Q101405078,Q18049865
4533,CRYGN,Ependymal cells,Q101405078,Q18052302
4534,PCP4L1,Ependymal cells,Q101405078,Q18060760
4535,PCP4L1,Interneurons,Q101405035,Q18060760
4536,PCP4L1,Mast cells,Q101404923,Q18060760
4537,PCP4L1,Purkinje neurons,Q101404913,Q18060760
4538,PCP4L1,Smooth muscle cells,Q101404901,Q18060760
4539,DYNLRB2,Ependymal cells,Q101405078,Q18047225
4540,TMEM107,Ependymal cells,Q101405078,Q18047560
4541,TMEM107,Olfactory epithelial cells,Q101405047,Q18047560
4542,RIIAD1,Ependymal cells,Q101405078,Q18054338
4543,RIIAD1,Olfactory epithelial cells,Q101405047,Q18054338
4544,RIIAD1,Radial glia cells,Q101404897,Q18054338
4545,RSPH1,Ependymal cells,Q101405078,Q18048092
4546,RSPH1,Germ cells,Q101404931,Q18048092
4547,RSPH1,Olfactory epithelial cells,Q101405047,Q18048092
4548,AK7,Ependymal cells,Q101405078,Q18049481
4549,CFAP54,Ependymal cells,Q101405078,Q18051225
4550,STOML3,Ependymal cells,Q101405078,Q18052479
4551,STOML3,Olfactory epithelial cells,Q101405047,Q18052479
4552,PLTP,Ependymal cells,Q101405078,Q18030604
4553,PLTP,Kupffer cells,Q101405068,Q18030604
4554,PLTP,Macrophages,Q101405081,Q18030604
4555,SSPO,Ependymal cells,Q101405078,Q18036916
4556,EFNB3,Ependymal cells,Q101405078,Q17916065
4557,EFNB3,Oligodendrocytes,Q101404898,Q17916065
4558,MYB,Ependymal cells,Q101405078,Q18029694
4559,MYB,Hepatic stellate cells,Q101404946,Q18029694
4560,MYB,T cells,Q101405075,Q18029694
4561,RFX2,Ependymal cells,Q101405078,Q18031107
4562,ZMYND10,Ependymal cells,Q101405078,Q18040246
4563,AK8,Ependymal cells,Q101405078,Q18052370
4564,CFAP44,Ependymal cells,Q101405078,Q18042047
4565,ERAS,Epiblast cells,Q101404877,Q18027278
4566,CLDN6,Epiblast cells,Q101404877,Q18033805
4567,CLDN7,Epiblast cells,Q101404877,Q17909143
4568,SLC35D3,Epiblast cells,Q101404877,Q18055381
4569,CXCL12,Epiblast cells,Q101404877,Q18031428
4570,CXCL12,Osteoblasts,Q101405044,Q18031428
4571,CXCL12,Sertoli cells,Q101404909,Q18031428
4572,SOX11,Epiblast cells,Q101404877,Q18031656
4573,CRMP1,Epiblast cells,Q101404877,Q17909813
4574,DPYSL5,Epiblast cells,Q101404877,Q18042559
4575,INA,Epiblast cells,Q101404877,Q18033840
4576,MFAP2,Epiblast cells,Q101404877,Q18029056
4577,ST6GAL1,Epithelial cells,Q101404948,Q18031497
4578,IL1R1,Epithelial cells,Q101404948,Q18027814
4579,IL1R1,Fibroblasts,Q101404861,Q18027814
4580,IL1R1,T regulatory cells,Q101405084,Q18027814
4581,KRT1,Epithelial cells,Q101404948,Q14864147
4582,KRT1,Keratinocytes,Q101405049,Q14864147
4583,KLK3,Epithelial cells,Q101404948,Q14859580
4584,KLK3,Luminal epithelial cells,Q101404886,Q14859580
4585,KLK3,Neuroblasts,Q101405031,Q14859580
4586,KRT3,Epithelial cells,Q101404948,Q14864162
4587,KRT16,Epithelial cells,Q101404948,Q14864348
4588,KRT16,Keratinocytes,Q101405049,Q14864348
4589,ITGA1,Epithelial cells,Q101404948,Q14912125
4590,ITGA1,Smooth muscle cells,Q101404901,Q14912125
4591,KRT2,Epithelial cells,Q101404948,Q14864167
4592,SCNN1B,Epithelial cells,Q101404948,Q18031403
4593,SCNN1B,Principal cells,Q101404911,Q18031403
4594,SCNN1B,Pulmonary alveolar type I cells,Q101405061,Q18031403
4595,SCNN1D,Epithelial cells,Q101404948,Q18031404
4596,SCNN1G,Epithelial cells,Q101404948,Q18031405
4597,SCNN1G,Principal cells,Q101404911,Q18031405
4598,SCNN1G,Pulmonary alveolar type I cells,Q101405061,Q18031405
4599,IFI16,Epithelial cells,Q101404948,Q18027568
4600,BOK,Epithelial cells,Q101404948,Q17850251
4601,BOK,Granulosa cells,Q101404921,Q17850251
4602,NKD1,Epithelial cells,Q101404948,Q18048023
4603,FZD6,Epithelial cells,Q101404948,Q18032821
4604,SFRP5,Epithelial cells,Q101404948,Q18031453
4605,SFRP5,Hepatocytes,Q101405101,Q18031453
4606,RAI14,Epithelial cells,Q101404948,Q18037991
4607,GPA33,Epithelial cells,Q101404948,Q18035136
4608,CRYBA1,Epithelial cells,Q101404948,Q5191428
4609,CEACAM5,Epithelial cells,Q101404948,Q17860979
4610,CTSE,Epithelial cells,Q101404948,Q18248582
4611,EXO1,Epithelial cells,Q101404948,Q18033878
4612,EXO1,Sebocytes,Q101405069,Q18033878
4613,FOXA1,Epithelial cells,Q101404948,Q18027046
4614,FOXA1,Hepatocytes,Q101405101,Q18027046
4615,GABRP,Epithelial cells,Q101404948,Q18025185
4616,SFN,Epithelial cells,Q101404948,Q18026310
4617,SFN,Keratinocytes,Q101405049,Q18026310
4618,SFN,Myoepithelial cells,Q101404924,Q18026310
4619,KRT13,Epithelial cells,Q101404948,Q14864179
4620,CDKN2A,Epithelial cells,Q101404948,Q5009957
4621,PSCA,Epithelial cells,Q101404948,Q18032698
4622,PSCA,Foveolar cells,Q101405056,Q18032698
4623,SPRR1B,Epithelial cells,Q101404948,Q18031677
4624,SPRR1B,Keratinocytes,Q101405049,Q18031677
4625,TM4SF20,Epithelial cells,Q101404948,Q18046408
4626,TM4SF20,Paneth cells,Q101405040,Q18046408
4627,TSTD1,Epithelial cells,Q101404948,Q18063331
4628,TSTD1,Olfactory epithelial cells,Q101405047,Q18063331
4629,SYCN,Epithelial cells,Q101404948,Q18055521
4630,HBEGF,Epithelial cells,Q101404948,Q14914537
4631,SELENBP1,Epithelial cells,Q101404948,Q18033643
4632,TSPAN1,Epithelial cells,Q101404948,Q18035030
4633,TSPAN1,Principal cells,Q101404911,Q18035030
4634,GUCA2A,Epithelial cells,Q101404948,Q18026673
4635,GUCA2A,Goblet cells,Q101405054,Q18026673
4636,GUCA2A,Paneth cells,Q101405040,Q18026673
4637,DLX5,Epithelial cells,Q101404948,Q17914019
4638,DLX5,Interneurons,Q101405035,Q17914019
4639,DLX5,Neural stem/precursor cells,Q101405041,Q17914019
4640,ITPR2,Epithelial cells,Q101404948,Q18028076
4641,ITPR2,Oligodendrocytes,Q101404898,Q18028076
4642,THRSP,Epithelial cells,Q101404948,Q18031988
4643,PLA2G4A,Epithelial cells,Q101404948,Q18030575
4644,SLC25A48,Epithelial cells,Q101404948,Q18052225
4645,PLEKHS1,Epithelial cells,Q101404948,Q18046488
4646,CDKL1,Epithelial cells,Q101404948,Q18033435
4647,MECOM,Epithelial cells,Q101404948,Q17917651
4648,MECOM,Hematopoietic stem cells,Q101405052,Q17917651
4649,MSX1,Epithelial cells,Q101404948,Q18029462
4650,MSX1,Pericytes,Q101405045,Q18029462
4651,RNF128,Epithelial cells,Q101404948,Q18046187
4652,RNF128,Mast cells,Q101404923,Q18046187
4653,RNF128,Olfactory epithelial cells,Q101405047,Q18046187
4654,ANLN,Epithelial cells,Q101404948,Q18041008
4655,ANLN,Oligodendrocytes,Q101404898,Q18041008
4656,CKAP2,Epithelial cells,Q101404948,Q18038311
4657,HMMR,Epithelial cells,Q101404948,Q18027035
4658,KIF15,Epithelial cells,Q101404948,Q18042766
4659,CKAP2L,Epithelial cells,Q101404948,Q18051954
4660,KIF20B,Epithelial cells,Q101404948,Q18034399
4661,HIRIP3,Epithelial cells,Q101404948,Q18032966
4662,INCENP,Epithelial cells,Q101404948,Q18027915
4663,KIF23,Epithelial cells,Q101404948,Q18034326
4664,PRC1,Epithelial cells,Q101404948,Q18033791
4665,ECT2,Epithelial cells,Q101404948,Q17915447
4666,CXCL10,Epithelial cells,Q101404948,Q14907804
4667,CXCL10,Leydig cells,Q101405116,Q14907804
4668,CXCL10,Monocytes,Q101405036,Q14907804
4669,CCL20,Epithelial cells,Q101404948,Q14907657
4670,CCL20,Microfold cells,Q101404934,Q14907657
4671,CCL20,T cells,Q101405075,Q14907657
4672,CXCL17,Epithelial cells,Q101404948,Q18054297
4673,ALOX15,Epithelial cells,Q101404948,Q18016431
4674,F5,Epithelial cells,Q101404948,Q14865116
4675,F5,Platelets,Q101404882,Q14865116
4676,EMILIN2,Epithelial cells,Q101404948,Q18047362
4677,SPTSSB,Epithelial cells,Q101404948,Q18052616
4678,SPTSSB,Epsilon cells,Q101404922,Q18052616
4679,FMO5,Epithelial cells,Q101404948,Q17928884
4680,IVL,Epithelial cells,Q101404948,Q18028085
4681,IVL,Keratinocytes,Q101405049,Q18028085
4682,IVL,Urothelial cells,Q101404883,Q18028085
4683,VSIG2,Epithelial cells,Q101404948,Q18037296
4684,AQP3,Epithelial cells,Q101404948,Q14905214
4685,AQP3,Gamma (PP) cells,Q101405057,Q14905214
4686,AQP3,Goblet cells,Q101405054,Q14905214
4687,AQP3,Hepatocytes,Q101405101,Q14905214
4688,AQP3,Keratinocytes,Q101405049,Q14905214
4689,AQP3,Luminal epithelial cells,Q101404886,Q14905214
4690,AQP3,Principal cells,Q101404911,Q14905214
4691,AQP3,Pulmonary alveolar type I cells,Q101405061,Q14905214
4692,PAQR5,Epithelial cells,Q101404948,Q18041310
4693,OCLN,Epithelial cells,Q101404948,Q14905777
4694,OCLN,Sertoli cells,Q101404909,Q14905777
4695,ANXA13,Epsilon cells,Q101404922,Q17828822
4696,ANXA13,Hepatocytes,Q101405101,Q17828822
4697,HMGCS2,Epsilon cells,Q101404922,Q18027029
4698,OLFML3,Epsilon cells,Q101404922,Q18042663
4699,OLFML3,Hepatic stellate cells,Q101404946,Q18042663
4700,OLFML3,Microglia,Q101404888,Q18042663
4701,ASGR1,Epsilon cells,Q101404922,Q17832212
4702,ASGR1,Follicular cells,Q101405110,Q17832212
4703,ASGR1,Follicular cells,Q101404875,Q17832212
4704,ASGR1,Hepatocytes,Q101405101,Q17832212
4705,COX6A2,Epsilon cells,Q101404922,Q17908996
4706,NPY1R,Epsilon cells,Q101404922,Q18030209
4707,FAXDC2,Epsilon cells,Q101404922,Q18035868
4708,SLC7A9,Epsilon cells,Q101404922,Q18036148
4709,C2ORF54,Epsilon cells,Q101404922,Q18046467
4710,GHRLOS,Epsilon cells,Q101404922,Q18062569
4711,BHMT,Epsilon cells,Q101404922,Q17848358
4712,BHMT,Luteal cells,Q101404954,Q17848358
4713,OPRK1,Epsilon cells,Q101404922,Q14897645
4714,PTGER4,Epsilon cells,Q101404922,Q18030900
4715,EYA4,Epsilon cells,Q101404922,Q17917387
4716,XYLB,Epsilon cells,Q101404922,Q18034900
4717,ELOVL2,Epsilon cells,Q101404922,Q18041361
4718,AFF3,Epsilon cells,Q101404922,Q18028427
4719,CORIN,Epsilon cells,Q101404922,Q18035614
4720,HRH2,Epsilon cells,Q101404922,Q14877295
4721,CALCR,Epsilon cells,Q101404922,Q14905625
4722,CALCR,Satellite cells,Q101404953,Q14905625
4723,SLC6A16,Epsilon cells,Q101404922,Q18039526
4724,PCSK6,Epsilon cells,Q101404922,Q18030335
4725,PCSK6,Fibroblasts,Q101404861,Q18030335
4726,PCSK6,Mesothelial cells,Q101405100,Q18030335
4727,ADAMTS6,Epsilon cells,Q101404922,Q18036184
4728,COL22A1,Epsilon cells,Q101404922,Q5013317
4729,FAM124A,Epsilon cells,Q101404922,Q18053422
4730,COL12A1,Epsilon cells,Q101404922,Q5145895
4731,COL12A1,Fibroblasts,Q101404861,Q5145895
4732,COL12A1,Osteoblasts,Q101405044,Q5145895
4733,CD109,Epsilon cells,Q101404922,Q18050621
4734,CD109,Myoepithelial cells,Q101404924,Q18050621
4735,CD109,Platelets,Q101404882,Q18050621
4736,THSD4,Epsilon cells,Q101404922,Q18046430
4737,VTN,Epsilon cells,Q101404922,Q14916393
4738,VTN,Fibroblasts,Q101404861,Q14916393
4739,VTN,Meningeal cells,Q101405083,Q14916393
4740,VTN,Pericytes,Q101405045,Q14916393
4741,APOH,Epsilon cells,Q101404922,Q14911006
4742,APOH,Hepatocytes,Q101405101,Q14911006
4743,SPINK1,Epsilon cells,Q101404922,Q18031671
4744,S100A6,Epsilon cells,Q101404922,Q18031352
4745,S100A6,Neural stem/precursor cells,Q101405041,Q18031352
4746,KRT8,Epsilon cells,Q101404922,Q14907896
4747,KRT8,Hepatoblasts,Q101404910,Q14907896
4748,KRT8,Luminal epithelial cells,Q101404886,Q14907896
4749,KRT8,Mammary epithelial cells,Q101404863,Q14907896
4750,KRT8,Merkel cells,Q101404933,Q14907896
4751,CGA,Erythroblasts,Q101405046,Q17861510
4752,CGA,Interneurons,Q101405035,Q17861510
4753,KLF1,Erythroblasts,Q101405046,Q18035587
4754,KLF1,Erythroid-like and erythroid precursor cells,Q101404957,Q18035587
4755,BPGM,Erythroblasts,Q101405046,Q17850714
4756,BPGM,Erythroid-like and erythroid precursor cells,Q101404957,Q17850714
4757,EPOR,Erythroblasts,Q101405046,Q14904899
4758,EPOR,Erythroid-like and erythroid precursor cells,Q101404957,Q14904899
4759,EPOR,Megakaryocytes,Q101404874,Q14904899
4760,IGBP1,Erythroblasts,Q101405046,Q18027665
4761,TFR2,Erythroblasts,Q101405046,Q18031967
4762,TFR2,Hepatocytes,Q101405101,Q18031967
4763,GYPA,Erythroblasts,Q101405046,Q18026700
4764,GYPA,Erythroid-like and erythroid precursor cells,Q101404957,Q18026700
4765,LMNB1,Erythroblasts,Q101405046,Q18028604
4766,LRP8,Erythroblasts,Q101405046,Q18032613
4767,LRP8,Neuroblasts,Q101405031,Q18032613
4768,GRSF1,Erythroblasts,Q101405046,Q18026565
4769,USE1,Erythroblasts,Q101405046,Q18042105
4770,CFP,Erythroblasts,Q101405046,Q18030474
4771,CFP,Mast cells,Q101404923,Q18030474
4772,CFP,Monocytes,Q101405036,Q18030474
4773,CFP,Neutrophils,Q101405102,Q18030474
4774,LMO2,Erythroblasts,Q101405046,Q18028609
4775,GATA1,Erythroblasts,Q101405046,Q14916151
4776,GATA1,Megakaryocytes,Q101404874,Q14916151
4777,GATA1,Sertoli cells,Q101404909,Q14916151
4778,TAL1,Erythroblasts,Q101405046,Q14914628
4779,TAL1,Hemangioblasts,Q101404945,Q14914628
4780,TAL1,Hematopoietic stem cells,Q101405052,Q14914628
4781,KMT5A,Erythroblasts,Q101405046,Q18056434
4782,PIEZO1,Erythroblasts,Q101405046,Q18034667
4783,PIEZO1,Mammary epithelial cells,Q101404863,Q18034667
4784,PIEZO1,Urothelial cells,Q101404883,Q18034667
4785,ALAS2,Erythroid-like and erythroid precursor cells,Q101404957,Q17816607
4786,HEXA,Erythroid-like and erythroid precursor cells,Q101404957,Q18026873
4787,CCNA2,Erythroid-like and erythroid precursor cells,Q101404957,Q5198263
4788,PKLR,Erythroid-like and erythroid precursor cells,Q101404957,Q18030566
4789,HBB,Erythroid-like and erythroid precursor cells,Q101404957,Q14905542
4790,HBA1,Erythroid-like and erythroid precursor cells,Q101404957,Q15328081
4791,HBA2,Erythroid-like and erythroid precursor cells,Q101404957,Q18026799
4792,HBG1,Erythroid-like and erythroid precursor cells,Q101404957,Q18026817
4793,HBG2,Erythroid-like and erythroid precursor cells,Q101404957,Q18026820
4794,THBS1,Erythroid-like and erythroid precursor cells,Q101404957,Q14906367
4795,THBS1,Loop of Henle cells,Q101405109,Q14906367
4796,THBS1,Platelets,Q101404882,Q14906367
4797,THBS1,Salivary mucous cells,Q101404929,Q14906367
4798,GYPB,Erythroid-like and erythroid precursor cells,Q101404957,Q18026703
4799,AHSP,Erythroid-like and erythroid precursor cells,Q101404957,Q18040219
4800,HBM,Erythroid-like and erythroid precursor cells,Q101404957,Q18026804
4801,FECH,Erythroid-like and erythroid precursor cells,Q101404957,Q14904856
4802,DCAF12,Erythroid-like and erythroid precursor cells,Q101404957,Q18037749
4803,HBD,Erythroid-like and erythroid precursor cells,Q101404957,Q18026810
4804,HEMGN,Erythroid-like and erythroid precursor cells,Q101404957,Q18041800
4805,HMBS,Erythroid-like and erythroid precursor cells,Q101404957,Q14904818
4806,NCOA4,Erythroid-like and erythroid precursor cells,Q101404957,Q18032710
4807,NCOA4,Platelets,Q101404882,Q18032710
4808,RBM38,Erythroid-like and erythroid precursor cells,Q101404957,Q18041853
4809,UBB,Erythroid-like and erythroid precursor cells,Q101404957,Q18032248
4810,TMCC2,Erythroid-like and erythroid precursor cells,Q101404957,Q18034874
4811,SLC4A1,Erythroid-like and erythroid precursor cells,Q101404957,Q14877701
4812,SLC4A1,Intercalated cells,Q101404915,Q14877701
4813,SLC25A39,Erythroid-like and erythroid precursor cells,Q101404957,Q18040465
4814,FOSB,Erythroid-like and erythroid precursor cells,Q101404957,Q17929096
4815,FOSB,Fibroblasts,Q101404861,Q17929096
4816,HTATSF1,Erythroid-like and erythroid precursor cells,Q101404957,Q18038791
4817,EPB41,Erythroid-like and erythroid precursor cells,Q101404957,Q14908148
4818,RSAD2,Erythroid-like and erythroid precursor cells,Q101404957,Q18048526
4819,COX6B2,Erythroid-like and erythroid precursor cells,Q101404957,Q18049641
4820,COX6B2,Germ cells,Q101404931,Q18049641
4821,ASNS,Erythroid-like and erythroid precursor cells,Q101404957,Q17832258
4822,ALAD,Erythroid-like and erythroid precursor cells,Q101404957,Q17816567
4823,AHSG,Erythroid-like and erythroid precursor cells,Q101404957,Q4734885
4824,ERMAP,Erythroid-like and erythroid precursor cells,Q101404957,Q18049009
4825,KCNN4,Erythroid-like and erythroid precursor cells,Q101404957,Q18028228
4826,KCNN4,Paneth cells,Q101405040,Q18028228
4827,KCNN4,Pyramidal cells,Q101404930,Q18028228
4828,PAN3,Erythroid-like and erythroid precursor cells,Q101404957,Q18053825
4829,PFAS,Erythroid-like and erythroid precursor cells,Q101404957,Q18030472
4830,VAMP5,Erythroid-like and erythroid precursor cells,Q101404957,Q18035836
4831,PNPO,Erythroid-like and erythroid precursor cells,Q101404957,Q18041609
4832,TSPO2,Erythroid-like and erythroid precursor cells,Q101404957,Q18053569
4833,RHD,Erythroid-like and erythroid precursor cells,Q101404957,Q18031125
4834,TSPAN33,Erythroid-like and erythroid precursor cells,Q101404957,Q18055400
4835,EPB42,Erythroid-like and erythroid precursor cells,Q101404957,Q14908156
4836,CD47,Erythroid-like and erythroid precursor cells,Q101404957,Q17859676
4837,EDRF1,Erythroid-like and erythroid precursor cells,Q101404957,Q18038114
4838,EPB41L2,Erythroid-like and erythroid precursor cells,Q101404957,Q17916841
4839,KEL,Erythroid-like and erythroid precursor cells,Q101404957,Q18028243
4840,RHAG,Erythroid-like and erythroid precursor cells,Q101404957,Q18031123
4841,THRB,Erythroid-like and erythroid precursor cells,Q101404957,Q18031987
4842,UROD,Erythroid-like and erythroid precursor cells,Q101404957,Q14888124
4843,UROS,Erythroid-like and erythroid precursor cells,Q101404957,Q18032303
4844,SNCA,Erythroid-like and erythroid precursor cells,Q101404957,Q14862268
4845,CELA1,Fibroblasts,Q101404861,Q17916097
4846,PDGFRB,Fibroblasts,Q101404861,Q18030425
4847,PDGFRB,Mesangial cells,Q101405121,Q18030425
